"Suchbegriff";"Typ";"Etappe";"Name";"Adresse";"Ort";"Bewertung";"Reviews";"Kategorie";"Preis";"Dauer";"Kinderwagen";"Mindestalter";"Info";"Beste Zeit";"Reservierung";"Website";"Lat";"Lng";"Hinweis"
"The Lawns at the Roundhouse, Round House Road, The Glen, Camps Bay, Cape Town 8005, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"The Lawns at the Roundhouse";"Round House Road, The Glen";"Camps Bay, Cape Town 8005";"4.3";"3776";"Picknick / Tapas / Sharing";"€€€";"";"";"";"Riesige Rasenfläche mit Spielplatz, Kinder können frei laufen";"";"Ja, unbedingt (Dineplan)";"https://www.thelawnsct.com/";"-33.943589";"18.384900";"Picknickkörbe mit Panoramablick über Camps Bay"
"Harbour House V&A Waterfront, Shop 4, Boatshed, Quays District, Dock Road, V&A Waterfront, Cape Town 8001, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Harbour House V&A Waterfront";"Shop 4, Boatshed, Quays District, Dock Road";"V&A Waterfront, Cape Town 8001";"4.2";"3720";"Seafood";"€€€";"";"";"";"Grosse helle Räume am Wasser, Boote und Robben zum Schauen";"";"Ja, dringend";"https://www.harbourhouse.co.za/";"-33.904897";"18.420423";"Fisch des Tages mit Blick auf Tafelberg"
"Jonkershuis Constantia, Groot Constantia Estate, Groot Constantia Road, Constantia, Cape Town 7806, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Jonkershuis Constantia";"Groot Constantia Estate, Groot Constantia Road";"Constantia, Cape Town 7806";"4.4";"3882";"Südafrikanisch / Kapmalaiisch";"€€";"";"";"";"Schattige Rasen- und Innenhofflächen, Enten am Teich";"";"Ja, empfohlen";"https://jonkershuisconstantia.co.za/";"-34.030661";"18.419028";"Bobotie und Cape-Malay-Curry; auch als Picknick buchbar"
"Dunes Beach Restaurant & Bar, 1 Beach Crescent, Hout Bay, Cape Town 7806, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Dunes Beach Restaurant & Bar";"1 Beach Crescent";"Hout Bay, Cape Town 7806";"4.2";"4157";"Seafood / Grill / Pizza";"€€";"";"";"";"Eingezäunter Spielplatz neben der Terrasse, direkter Strandzugang";"";"Am Wochenende nötig";"https://www.dunesrestaurant.co.za/";"-34.045558";"18.358372";"Vor Besuch kurz anrufen - ein Aggregator führte zwischenzeitlich 'temporarily closed'"
"Deer Park Cafe, Deer Park House, 2 Deer Park Drive West, Vredehoek, Cape Town 8001, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Deer Park Cafe";"Deer Park House, 2 Deer Park Drive West";"Vredehoek, Cape Town 8001";"4.4";"1790";"Cafe / Frühstück / Burger";"€€";"";"";"";"Öffentlicher Spielplatz direkt vor dem Cafe, Kindermenü, Babyccinos";"";"Wochenende sinnvoll";"http://www.deerparkcafe.co.za/";"-33.942537";"18.420581";"Bestes All-Day-Breakfast am Fuss des Tafelbergs"
"Cafe Paradiso, 110 Kloof Street, Gardens, Cape Town 8001, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Cafe Paradiso";"110 Kloof Street";"Gardens, Cape Town 8001";"4.2";"1950";"Mediterran / Pizza / Pasta";"€€";"";"";"";"Betreute Kinderaktivitäten: Pizzabacken und Cupcakes dekorieren";"";"Ja, v.a. Wochenende";"https://www.cafe-paradiso.co.za/";"-33.934286";"18.407127";"Kinder kneten ihre eigene Pizza; schattiger Garten"
"The Company's Garden Restaurant, 15 Queen Victoria Street, Cape Town City Centre 8001, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"The Company's Garden Restaurant";"15 Queen Victoria Street";"Cape Town City Centre 8001";"4.3";"9521";"Cafe / Bistro";"€€";"";"";"";"Mitten im autofreien Stadtpark, Eichhörnchen und Spielbereich";"";"Nein, Walk-in";"https://www.thecompanysgarden.com/";"-33.926732";"18.416766";"Frühstück unter alten Bäumen, danach Museen zu Fuss"
"Massimo's Pizza Club, Oakhurst Farm Park, Hout Bay Main Road, Hout Bay, Cape Town 7806, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Massimo's Pizza Club";"Oakhurst Farm Park, Hout Bay Main Road";"Hout Bay, Cape Town 7806";"4.4";"1648";"Italienisch / Holzofenpizza";"€";"";"";"";"Aussen-Spielbereich, sehr kindertolerante Atmosphäre";"";"Ja, klein und schnell voll";"http://www.massimos.co.za/";"-34.019174";"18.375277";"Beste günstige Familienadresse der Halbinsel"
"Peddlars & Co., Ecke Spaanschemat River Road / Brounger Road, Belle Constantia, Constantia, Cape Town 7806, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Peddlars & Co.";"Ecke Spaanschemat River Road / Brounger Road, Belle Constantia";"Constantia, Cape Town 7806";"4.2";"2510";"Pub / Burger / Steak / Pizza";"€€";"";"";"";"Grosser Eichengarten mit Rasenfläche, Kindermenü";"";"Abends und sonntags nötig";"https://www.peddlars.co.za/";"-34.029755";"18.439149";"Unkompliziert nach einem Tag in Constantia/Kirstenbosch"
"Clay Cafe Hout Bay, Hout Bay Main Road, Hout Bay, Cape Town 7872, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Clay Cafe Hout Bay";"Hout Bay Main Road";"Hout Bay, Cape Town 7872";"4.6";"5506";"Cafe / Keramikstudio";"€";"";"";"";"Kinder bemalen Keramik während des Essens; vegan, vegetarisch, halal";"";"Ja, Plätze begrenzt";"https://claycafe.co.za/hout-bay/";"-34.017144";"18.379924";"Achtung: Brennen dauert 10+ Tage - ungebrannt mitnehmen möglich"
"Codfather Seafood & Sushi, 37 The Drive, Camps Bay, Cape Town 8040, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Codfather Seafood & Sushi";"37 The Drive";"Camps Bay, Cape Town 8040";"4.5";"3779";"Seafood / Sushi";"€€€";"";"";"";"Offene Fischtheke und Sushi-Bar zum Zuschauen, Portionen frei zusammenstellbar";"";"Ja";"https://www.codfather.co.za/";"-33.95419";"18.37744";"Kein Menü - Fisch wird an der Theke ausgesucht (Tipp aus eurem PDF)"
"The Pottery @ Camps Bay, 41 The Drive, Camps Bay, Cape Town 8005, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"The Pottery @ Camps Bay";"41 The Drive";"Camps Bay, Cape Town 8005";"4.4";"";"Cafe / Keramikwerkstatt";"€€";"";"";"";"Cafe plus Töpfer-Atelier - Kinder bemalen statt nur zu sitzen";"";"Empfohlen";"https://campsbay.thepottery.co.za/";"-33.95419";"18.37731";"Tipp aus eurem PDF; TripAdvisor-Basis noch dünn"
"Tiger's Milk Camps Bay, 33 Victoria Road, Camps Bay, Cape Town 8005, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Tiger's Milk Camps Bay";"33 Victoria Road";"Camps Bay, Cape Town 8005";"4.4";"";"Burger / Pizza / Ribs";"€€";"";"";"";"Lärmtolerant, klassische Kinderküche, gegenüber dem Strand";"";"Nein";"https://tigersmilk.co.za/";"-33.95044";"18.37881";"Tipp aus eurem PDF"
"Mantra Cafe (Upstairs), 43 Victoria Road, Camps Bay, Cape Town 8040, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Mantra Cafe (Upstairs)";"43 Victoria Road";"Camps Bay, Cape Town 8040";"4.4";"";"Frühstück / Bowls / Cafe";"€€";"";"";"";"Frühstück ab 8:30, unkomplizierte Karte, Meerblick";"";"Nein";"https://www.mantracafe.co.za/";"-33.95081";"18.37856";"Tipp aus eurem PDF"
"Arnold's Restaurant, 60 Kloof Street, Gardens, Cape Town 8001, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Arnold's Restaurant";"60 Kloof Street";"Gardens, Cape Town 8001";"4.4";"";"Frühstück / Grill / SA-Klassiker";"€€";"";"";"";"Ab 7 Uhr offen, grosse Terrasse, sehr breite Karte";"";"Nein";"https://www.arnolds.co.za/";"-33.93094";"18.40969";"Tipp aus eurem PDF"
"Fynkos - Kirstenbosch Tea Room, Gate 2, Kirstenbosch Botanical Gardens, Rhodes Drive, Newlands, Cape Town 7700, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Fynkos - Kirstenbosch Tea Room";"Gate 2, Kirstenbosch Botanical Gardens, Rhodes Drive";"Newlands, Cape Town 7700";"4.4";"1815";"Tea Room / Cafe";"€€";"";"";"";"Direkt im Botanischen Garten - Rasen und Baumwipfelpfad vor der Tür";"";"Nein";"https://fynkos.co.za/";"-33.98694";"18.43156";"Tipp aus eurem PDF; ideal nach Kirstenbosch-Besuch"
"Blue Water Cafe, Imhoff Farm, Imhoff Farm, Kommetjie Road, Ocean View / Kommetjie 7975, Südafrika";"Restaurant";"1 | Kapstadt (4.-8. Okt)";"Blue Water Cafe, Imhoff Farm";"Imhoff Farm, Kommetjie Road";"Ocean View / Kommetjie 7975";"4.4";"512";"Cafe / Pizza / Seafood";"€€";"";"";"";"Streichelgehege, Kamelreiten und Spielplatz auf der Farm";"";"Empfohlen";"https://bluewatercafe.co.za/";"-34.14206";"18.35106";"Stärkster Kinder-Standort der Kaphalbinsel (Tipp aus eurem PDF)"
