"Suchbegriff";"Etappe";"Name";"Adresse";"Ort";"Bewertung";"Reviews";"Kategorie";"Preis";"Kinderfreundlich";"Reservierung";"Website";"Lat";"Lng";"Hinweis"
"The Lawns at the Roundhouse, Round House Road, The Glen, Camps Bay, Cape Town 8005, Südafrika";"1 | Kapstadt (4.-8. Okt)";"The Lawns at the Roundhouse";"Round House Road, The Glen";"Camps Bay, Cape Town 8005";"4.3";"3776";"Picknick / Tapas / Sharing";"EEE";"Riesige Rasenfläche mit Spielplatz, Kinder können frei laufen";"Ja, unbedingt (Dineplan)";"https://www.thelawnsct.com/";"-33.943589";"18.384900";"Picknickkörbe mit Panoramablick über Camps Bay"
"Harbour House V&A Waterfront, Shop 4, Boatshed, Quays District, Dock Road, V&A Waterfront, Cape Town 8001, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Harbour House V&A Waterfront";"Shop 4, Boatshed, Quays District, Dock Road";"V&A Waterfront, Cape Town 8001";"4.2";"3720";"Seafood";"EEE";"Grosse helle Räume am Wasser, Boote und Robben zum Schauen";"Ja, dringend";"https://www.harbourhouse.co.za/";"-33.904897";"18.420423";"Fisch des Tages mit Blick auf Tafelberg"
"Jonkershuis Constantia, Groot Constantia Estate, Groot Constantia Road, Constantia, Cape Town 7806, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Jonkershuis Constantia";"Groot Constantia Estate, Groot Constantia Road";"Constantia, Cape Town 7806";"4.4";"3882";"Südafrikanisch / Kapmalaiisch";"EE";"Schattige Rasen- und Innenhofflächen, Enten am Teich";"Ja, empfohlen";"https://jonkershuisconstantia.co.za/";"-34.030661";"18.419028";"Bobotie und Cape-Malay-Curry; auch als Picknick buchbar"
"Dunes Beach Restaurant & Bar, 1 Beach Crescent, Hout Bay, Cape Town 7806, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Dunes Beach Restaurant & Bar";"1 Beach Crescent";"Hout Bay, Cape Town 7806";"4.2";"4157";"Seafood / Grill / Pizza";"EE";"Eingezäunter Spielplatz neben der Terrasse, direkter Strandzugang";"Am Wochenende nötig";"https://www.dunesrestaurant.co.za/";"-34.045558";"18.358372";"Vor Besuch kurz anrufen - ein Aggregator führte zwischenzeitlich 'temporarily closed'"
"Deer Park Cafe, Deer Park House, 2 Deer Park Drive West, Vredehoek, Cape Town 8001, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Deer Park Cafe";"Deer Park House, 2 Deer Park Drive West";"Vredehoek, Cape Town 8001";"4.4";"1790";"Cafe / Frühstück / Burger";"EE";"Öffentlicher Spielplatz direkt vor dem Cafe, Kindermenü, Babyccinos";"Wochenende sinnvoll";"http://www.deerparkcafe.co.za/";"-33.942537";"18.420581";"Bestes All-Day-Breakfast am Fuss des Tafelbergs"
"Cafe Paradiso, 110 Kloof Street, Gardens, Cape Town 8001, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Cafe Paradiso";"110 Kloof Street";"Gardens, Cape Town 8001";"4.2";"1950";"Mediterran / Pizza / Pasta";"EE";"Betreute Kinderaktivitäten: Pizzabacken und Cupcakes dekorieren";"Ja, v.a. Wochenende";"https://www.cafe-paradiso.co.za/";"-33.934286";"18.407127";"Kinder kneten ihre eigene Pizza; schattiger Garten"
"The Company's Garden Restaurant, 15 Queen Victoria Street, Cape Town City Centre 8001, Südafrika";"1 | Kapstadt (4.-8. Okt)";"The Company's Garden Restaurant";"15 Queen Victoria Street";"Cape Town City Centre 8001";"4.3";"9521";"Cafe / Bistro";"EE";"Mitten im autofreien Stadtpark, Eichhörnchen und Spielbereich";"Nein, Walk-in";"https://www.thecompanysgarden.com/";"-33.926732";"18.416766";"Frühstück unter alten Bäumen, danach Museen zu Fuss"
"Massimo's Pizza Club, Oakhurst Farm Park, Hout Bay Main Road, Hout Bay, Cape Town 7806, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Massimo's Pizza Club";"Oakhurst Farm Park, Hout Bay Main Road";"Hout Bay, Cape Town 7806";"4.4";"1648";"Italienisch / Holzofenpizza";"E";"Aussen-Spielbereich, sehr kindertolerante Atmosphäre";"Ja, klein und schnell voll";"http://www.massimos.co.za/";"-34.019174";"18.375277";"Beste günstige Familienadresse der Halbinsel"
"Peddlars & Co., Ecke Spaanschemat River Road / Brounger Road, Belle Constantia, Constantia, Cape Town 7806, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Peddlars & Co.";"Ecke Spaanschemat River Road / Brounger Road, Belle Constantia";"Constantia, Cape Town 7806";"4.2";"2510";"Pub / Burger / Steak / Pizza";"EE";"Grosser Eichengarten mit Rasenfläche, Kindermenü";"Abends und sonntags nötig";"https://www.peddlars.co.za/";"-34.029755";"18.439149";"Unkompliziert nach einem Tag in Constantia/Kirstenbosch"
"Clay Cafe Hout Bay, Hout Bay Main Road, Hout Bay, Cape Town 7872, Südafrika";"1 | Kapstadt (4.-8. Okt)";"Clay Cafe Hout Bay";"Hout Bay Main Road";"Hout Bay, Cape Town 7872";"4.6";"5506";"Cafe / Keramikstudio";"E";"Kinder bemalen Keramik während des Essens; vegan, vegetarisch, halal";"Ja, Plätze begrenzt";"https://claycafe.co.za/hout-bay/";"-34.017144";"18.379924";"Achtung: Brennen dauert 10+ Tage - ungebrannt mitnehmen möglich"
